seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power,T1_C,T2_C,T3_C,fluid_in_C,fluid_out_C,delta_p,pump_cost_per_day,Q_dot,efficiency,delta_T
0.0,650,660,640,620,800,600,650,500,-0.005,,,,,,-50,-0.051840000000000004,,,
0.1,655,665,645,619,799,605,655,505,-0.005,,,,,,-50,-0.051840000000000004,,,
0.2,660,670,650,618,798,610,660,510,-0.005,,,,,,-50,-0.051840000000000004,,,
0.3,665,675,655,617,797,615,665,515,-0.005,,,,,,-50,-0.051840000000000004,,,
0.4,670,680,660,616,796,620,670,520,-0.005,,,,,,-50,-0.051840000000000004,,,
0.5,675,685,665,615,795,625,675,525,-0.005,,,,,,-50,-0.051840000000000004,,,
0.6,680,690,670,614,794,630,680,530,-0.005,,,,,,-50,-0.051840000000000004,,,
0.7,685,695,675,613,793,635,685,535,-0.005,,,,,,-50,-0.051840000000000004,,,
0.8,690,700,680,612,792,640,690,540,-0.005,,,,,,-50,-0.051840000000000004,,,
0.9,695,705,685,611,791,645,695,545,-0.005,,,,,,-50,-0.051840000000000004,,,
1.0,700,710,690,610,790,650,700,550,-0.005,,,,,,-50,-0.051840000000000004,,,
1.1,705,715,695,609,789,655,705,555,-0.005,,,,,,-50,-0.051840000000000004,,,
1.2,710,720,700,608,788,660,710,560,-0.005,,,,,,-50,-0.051840000000000004,,,
1.3,715,725,705,607,787,665,715,565,-0.005,,,,,,-50,-0.051840000000000004,,,
1.4,720,730,710,606,786,670,720,570,-0.005,,,,,,-50,-0.051840000000000004,,,
1.5,725,735,715,605,785,675,725,575,-0.005,,,,,,-50,-0.051840000000000004,,,
1.6,730,740,720,604,784,680,730,580,-0.005,,,,,,-50,-0.051840000000000004,,,
1.7,735,745,725,603,783,685,735,585,-0.005,,,,,,-50,-0.051840000000000004,,,
1.8,740,750,730,602,782,690,740,590,-0.005,,,,,,-50,-0.051840000000000004,,,
1.9,745,755,735,601,781,695,745,595,-0.005,,,,,,-50,-0.051840000000000004,,,
2.0,750,760,740,600,780,700,750,600,-0.005,,,,,,-50,-0.051840000000000004,,,
2.1,755,765,745,599,779,705,755,605,-0.005,,,,,,-50,-0.051840000000000004,,,
2.2,760,770,750,598,778,710,760,610,-0.005,,,,,,-50,-0.051840000000000004,,,
2.3,765,775,755,597,777,715,765,615,-0.005,,,,,,-50,-0.051840000000000004,,,
2.4,770,780,760,596,776,720,770,620,-0.005,,,,,,-50,-0.051840000000000004,,,
2.5,775,785,765,595,775,725,775,625,-0.005,,,,,,-50,-0.051840000000000004,,,
2.6,780,790,770,594,774,730,780,630,-0.005,,,,,,-50,-0.051840000000000004,,,
2.7,785,795,775,593,773,735,785,635,-0.005,,,,,,-50,-0.051840000000000004,,,
2.8,790,800,780,592,772,740,790,640,-0.005,,,,,,-50,-0.051840000000000004,,,
2.9,795,805,785,591,771,745,795,645,-0.005,,,,,,-50,-0.051840000000000004,,,
3.0,800,810,790,590,770,750,800,650,-0.005,,,,,,-50,-0.051840000000000004,,,
3.1,805,815,795,589,769,755,805,655,-0.005,,,,,,-50,-0.051840000000000004,,,
3.2,810,820,800,588,768,760,810,660,-0.005,,,,,,-50,-0.051840000000000004,,,
3.3,815,825,805,587,767,765,815,665,-0.005,,,,,,-50,-0.051840000000000004,,,
3.4,820,830,810,586,766,770,820,670,-0.005,,,,,,-50,-0.051840000000000004,,,
3.5,825,835,815,585,765,775,825,675,-0.005,,,,,,-50,-0.051840000000000004,,,
3.6,830,840,820,584,764,780,830,680,-0.005,,,,,,-50,-0.051840000000000004,,,
3.7,835,845,825,583,763,785,835,685,-0.005,,,,,,-50,-0.051840000000000004,,,
3.8,840,850,830,582,762,790,840,690,-0.005,,,,,,-50,-0.051840000000000004,,,
3.9,845,855,835,581,761,795,845,695,-0.005,,,,,,-50,-0.051840000000000004,,,
4.0,850,860,840,580,760,800,850,700,-0.005,,,,,,-50,-0.051840000000000004,,,
4.1,855,865,845,579,759,805,855,705,-0.005,,,,,,-50,-0.051840000000000004,,,
4.2,860,870,850,578,758,810,860,710,-0.005,,,,,,-50,-0.051840000000000004,,,
4.3,865,875,855,577,757,815,865,715,-0.005,,,,,,-50,-0.051840000000000004,,,
4.4,870,880,860,576,756,820,870,720,-0.005,,,,,,-50,-0.051840000000000004,,,
4.5,875,885,865,575,755,825,875,725,-0.005,,,,,,-50,-0.051840000000000004,,,
4.6,880,890,870,574,754,830,880,730,-0.005,,,,,,-50,-0.051840000000000004,,,
4.7,885,895,875,573,753,835,885,735,-0.005,,,,,,-50,-0.051840000000000004,,,
4.8,890,900,880,572,752,840,890,740,-0.005,,,,,,-50,-0.051840000000000004,,,
4.9,895,905,885,571,751,845,895,745,-0.005,,,,,,-50,-0.051840000000000004,,,
5.0,900,910,890,570,750,850,900,750,-0.005,,,,,,-50,-0.051840000000000004,,,
5.1,905,915,895,569,749,855,905,755,-0.005,,,,,,-50,-0.051840000000000004,,,
5.2,910,920,900,568,748,860,910,760,-0.005,,,,,,-50,-0.051840000000000004,,,
5.3,915,925,905,567,747,865,915,765,-0.005,,,,,,-50,-0.051840000000000004,,,
5.4,920,930,910,566,746,870,920,770,-0.005,,,,,,-50,-0.051840000000000004,,,
5.5,925,935,915,565,745,875,925,775,-0.005,,,,,,-50,-0.051840000000000004,,,
5.6,930,940,920,564,744,880,930,780,-0.005,,,,,,-50,-0.051840000000000004,,,
5.7,935,945,925,563,743,885,935,785,-0.005,,,,,,-50,-0.051840000000000004,,,
5.8,940,950,930,562,742,890,940,790,-0.005,,,,,,-50,-0.051840000000000004,,,
5.9,945,955,935,561,741,895,945,795,-0.005,,,,,,-50,-0.051840000000000004,,,
6.0,950,960,940,560,740,900,950,800,-0.005,,,,,,-50,-0.051840000000000004,,,
6.1,955,965,945,559,739,905,955,805,-0.005,,,,,,-50,-0.051840000000000004,,,
6.2,960,970,950,558,738,910,960,810,-0.005,,,,,,-50,-0.051840000000000004,,,
6.3,965,975,955,557,737,915,965,815,-0.005,,,,,,-50,-0.051840000000000004,,,
6.4,970,980,960,556,736,920,970,820,-0.005,,,,,,-50,-0.051840000000000004,,,
