seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power,T1_C,T2_C,T3_C,fluid_in_C,fluid_out_C,delta_p,pump_power_calc,pump_cost_per_day,Q_dot,efficiency,delta_T
0.0,208,188,212,1,0,19,110,,,79.23375427416943,83.21855778735886,78.48188310973973,426.52186008440685,,91,0.00060666697,0.00628992314496,,,
0.1,212,187,212,1,1,20,110,,,78.48188310973973,83.42863858807613,78.48188310973973,426.52186008440685,426.52186008440685,90,0.0006000002999999999,0.006220803110399999,0.0,,0.0
0.201,209,187,212,2,2,19,109,,,79.04448483591005,83.42863858807613,78.48188310973973,349.9147799075381,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,0.0,,0.0
0.302,211,186,212,2,2,20,110,,,78.66855859407826,83.639842725466,78.48188310973973,349.9147799075381,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,0.0,,0.0
0.402,212,187,213,2,2,20,109,,,78.48188310973973,83.42863858807613,78.29605382783535,349.9147799075381,349.9147799075381,89,0.00059333363,0.00615168307584,0.0,,0.0
0.503,215,188,212,3,2,20,110,,,77.92689801733297,83.21855778735886,78.48188310973973,312.3756795479892,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,-409.1761939190831,,-37.53910035954891
0.603,212,186,212,2,1,19,109,,,78.48188310973973,83.639842725466,78.48188310973973,349.9147799075381,426.52186008440685,90,0.0006000002999999999,0.006220803110399999,-835.0171739278694,,-76.60708017686875
0.704,211,187,213,2,3,17,109,,,78.66855859407826,83.42863858807613,78.29605382783535,349.9147799075381,312.3756795479892,92,0.00061333364,0.0063590431795199995,409.1761939190831,,37.53910035954891
0.804,211,186,212,3,1,20,110,,,78.66855859407826,83.639842725466,78.48188310973973,312.3756795479892,426.52186008440685,90,0.0006000002999999999,0.006220803110399999,-1244.1933678469525,,-114.14618053641766
0.905,212,187,211,2,2,18,109,,,78.48188310973973,83.42863858807613,78.66855859407826,349.9147799075381,349.9147799075381,91,0.00060666697,0.00628992314496,0.0,,0.0
1.005,211,187,211,2,2,19,110,,,78.66855859407826,83.42863858807613,78.66855859407826,349.9147799075381,349.9147799075381,91,0.00060666697,0.00628992314496,0.0,,0.0
1.105,211,187,212,2,2,18,110,,,78.66855859407826,83.42863858807613,78.48188310973973,349.9147799075381,349.9147799075381,92,0.00061333364,0.0063590431795199995,0.0,,0.0
1.206,211,187,212,2,2,20,110,,,78.66855859407826,83.42863858807613,78.48188310973973,349.9147799075381,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,0.0,,0.0
1.306,211,187,212,1,2,20,110,,,78.66855859407826,83.42863858807613,78.48188310973973,426.52186008440685,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,835.0171739278694,,76.60708017686875
1.406,213,186,213,2,2,18,109,,,78.29605382783535,83.639842725466,78.29605382783535,349.9147799075381,349.9147799075381,91,0.00060666697,0.00628992314496,0.0,,0.0
1.507,211,186,210,2,2,19,110,,,78.66855859407826,83.639842725466,78.85608941280901,349.9147799075381,349.9147799075381,91,0.00060666697,0.00628992314496,0.0,,0.0
1.607,211,186,211,3,2,19,110,,,78.66855859407826,83.639842725466,78.66855859407826,312.3756795479892,349.9147799075381,91,0.00060666697,0.00628992314496,-409.1761939190831,,-37.53910035954891
1.708,211,187,211,2,3,18,109,,,78.66855859407826,83.42863858807613,78.66855859407826,349.9147799075381,312.3756795479892,91,0.00060666697,0.00628992314496,409.1761939190831,,37.53910035954891
1.808,211,187,211,2,3,19,110,,,78.66855859407826,83.42863858807613,78.66855859407826,349.9147799075381,312.3756795479892,91,0.00060666697,0.00628992314496,409.1761939190831,,37.53910035954891
1.908,211,187,212,2,1,19,109,,,78.66855859407826,83.42863858807613,78.48188310973973,349.9147799075381,426.52186008440685,90,0.0006000002999999999,0.006220803110399999,-835.0171739278694,,-76.60708017686875
2.009,211,187,211,1,2,19,110,,,78.66855859407826,83.42863858807613,78.66855859407826,426.52186008440685,349.9147799075381,91,0.00060666697,0.00628992314496,835.0171739278694,,76.60708017686875
2.109,211,187,212,3,2,20,110,,,78.66855859407826,83.42863858807613,78.48188310973973,312.3756795479892,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,-409.1761939190831,,-37.53910035954891
2.21,212,187,212,2,1,18,109,,,78.48188310973973,83.42863858807613,78.48188310973973,349.9147799075381,426.52186008440685,91,0.00060666697,0.00628992314496,-835.0171739278694,,-76.60708017686875
2.31,213,187,212,2,1,19,110,,,78.29605382783535,83.42863858807613,78.48188310973973,349.9147799075381,426.52186008440685,91,0.00060666697,0.00628992314496,-835.0171739278694,,-76.60708017686875
2.41,211,186,213,1,2,17,110,,,78.66855859407826,83.639842725466,78.29605382783535,426.52186008440685,349.9147799075381,93,0.00062000031,0.006428163214079999,835.0171739278694,,76.60708017686875
2.511,211,186,213,3,2,20,109,,,78.66855859407826,83.639842725466,78.29605382783535,312.3756795479892,349.9147799075381,89,0.00059333363,0.00615168307584,-409.1761939190831,,-37.53910035954891
2.611,210,186,212,2,2,19,109,,,78.85608941280901,83.639842725466,78.48188310973973,349.9147799075381,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,0.0,,0.0
2.711,212,186,212,1,2,20,109,,,78.48188310973973,83.639842725466,78.48188310973973,426.52186008440685,349.9147799075381,89,0.00059333363,0.00615168307584,835.0171739278694,,76.60708017686875
2.812,214,187,212,1,3,20,110,,,78.11106175170545,83.42863858807613,78.48188310973973,426.52186008440685,312.3756795479892,90,0.0006000002999999999,0.006220803110399999,1244.1933678469525,,114.14618053641766
2.912,214,186,211,2,2,20,110,,,78.11106175170545,83.639842725466,78.66855859407826,349.9147799075381,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,0.0,,0.0
3.012,213,186,212,2,1,20,110,,,78.29605382783535,83.639842725466,78.48188310973973,349.9147799075381,426.52186008440685,90,0.0006000002999999999,0.006220803110399999,-835.0171739278694,,-76.60708017686875
3.113,214,186,213,2,1,19,109,,,78.11106175170545,83.639842725466,78.29605382783535,349.9147799075381,426.52186008440685,90,0.0006000002999999999,0.006220803110399999,-835.0171739278694,,-76.60708017686875
3.213,213,187,212,1,1,18,110,,,78.29605382783535,83.42863858807613,78.48188310973973,426.52186008440685,426.52186008440685,92,0.00061333364,0.0063590431795199995,0.0,,0.0
3.314,214,186,212,2,2,20,109,,,78.11106175170545,83.639842725466,78.48188310973973,349.9147799075381,349.9147799075381,89,0.00059333363,0.00615168307584,0.0,,0.0
3.414,213,184,212,2,2,20,110,,,78.29605382783535,84.0656756918633,78.48188310973973,349.9147799075381,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,0.0,,0.0
3.515,212,185,212,1,1,18,109,,,78.48188310973973,83.85218381123997,78.48188310973973,426.52186008440685,426.52186008440685,91,0.00060666697,0.00628992314496,0.0,,0.0
3.615,214,187,212,1,2,20,109,,,78.11106175170545,83.42863858807613,78.48188310973973,426.52186008440685,349.9147799075381,89,0.00059333363,0.00615168307584,835.0171739278694,,76.60708017686875
3.715,212,186,212,2,2,20,110,,,78.48188310973973,83.639842725466,78.48188310973973,349.9147799075381,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,0.0,,0.0
3.816,212,186,212,2,2,20,110,,,78.48188310973973,83.639842725466,78.48188310973973,349.9147799075381,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,0.0,,0.0
3.916,213,186,211,0,1,20,110,,,78.29605382783535,83.639842725466,78.66855859407826,,426.52186008440685,90,0.0006000002999999999,0.006220803110399999,,,
4.017,213,186,212,2,1,19,110,,,78.29605382783535,83.639842725466,78.48188310973973,349.9147799075381,426.52186008440685,91,0.00060666697,0.00628992314496,-835.0171739278694,,-76.60708017686875
4.117,213,187,210,1,1,19,110,,,78.29605382783535,83.42863858807613,78.85608941280901,426.52186008440685,426.52186008440685,91,0.00060666697,0.00628992314496,0.0,,0.0
4.218,213,188,212,2,2,19,110,,,78.29605382783535,83.21855778735886,78.48188310973973,349.9147799075381,349.9147799075381,91,0.00060666697,0.00628992314496,0.0,,0.0
4.318,214,186,211,2,2,19,109,,,78.11106175170545,83.639842725466,78.66855859407826,349.9147799075381,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,0.0,,0.0
4.419,212,187,212,3,2,19,109,,,78.48188310973973,83.42863858807613,78.48188310973973,312.3756795479892,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,-409.1761939190831,,-37.53910035954891
4.519,213,185,212,3,2,20,110,,,78.29605382783535,83.85218381123997,78.48188310973973,312.3756795479892,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,-409.1761939190831,,-37.53910035954891
4.62,212,187,212,1,3,20,109,,,78.48188310973973,83.42863858807613,78.48188310973973,426.52186008440685,312.3756795479892,89,0.00059333363,0.00615168307584,1244.1933678469525,,114.14618053641766
4.72,213,187,211,2,3,18,110,,,78.29605382783535,83.42863858807613,78.66855859407826,349.9147799075381,312.3756795479892,92,0.00061333364,0.0063590431795199995,409.1761939190831,,37.53910035954891
4.82,208,187,213,1,1,17,109,,,79.23375427416943,83.42863858807613,78.29605382783535,426.52186008440685,426.52186008440685,92,0.00061333364,0.0063590431795199995,0.0,,0.0
4.921,215,186,212,2,2,19,109,,,77.92689801733297,83.639842725466,78.48188310973973,349.9147799075381,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,0.0,,0.0
5.021,258,225,256,2,2,19,110,,,70.68393121451464,76.12895921888241,70.99527405744965,349.9147799075381,349.9147799075381,91,0.00060666697,0.00628992314496,0.0,,0.0
5.122,264,228,260,3,2,19,109,,,69.76267294804126,75.60434155353255,70.37474235244133,312.3756795479892,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,-409.1761939190831,,-37.53910035954891
5.223,263,229,261,2,2,19,109,,,69.91491351144026,75.43091235852125,70.22094355481465,349.9147799075381,349.9147799075381,90,0.0006000002999999999,0.006220803110399999,0.0,,0.0
5.323,264,228,262,2,3,19,110,,,69.76267294804126,75.60434155353255,70.06766883665347,349.9147799075381,312.3756795479892,91,0.00060666697,0.00628992314496,409.1761939190831,,37.53910035954891
5.424,263,229,261,3,2,19,110,,,69.91491351144026,75.43091235852125,70.22094355481465,312.3756795479892,349.9147799075381,91,0.00060666697,0.00628992314496,-409.1761939190831,,-37.53910035954891
5.525,263,227,259,3,1,19,110,,,69.91491351144026,75.77848757632239,70.52906997233748,312.3756795479892,426.52186008440685,91,0.00060666697,0.00628992314496,-1244.1933678469525,,-114.14618053641766
5.626,263,228,260,3,2,20,109,,,69.91491351144026,75.60434155353255,70.37474235244133,312.3756795479892,349.9147799075381,89,0.00059333363,0.00615168307584,-409.1761939190831,,-37.53910035954891
5.727,264,228,260,3,1,19,109,,,69.76267294804126,75.60434155353255,70.37474235244133,312.3756795479892,426.52186008440685,90,0.0006000002999999999,0.006220803110399999,-1244.1933678469525,,-114.14618053641766
5.828,213,185,212,2,2,19,110,,,78.29605382783535,83.85218381123997,78.48188310973973,349.9147799075381,349.9147799075381,91,0.00060666697,0.00628992314496,0.0,,0.0
5.928,251,219,250,2,3,18,110,,,71.78331699106616,77.19835371617438,71.94262719579035,349.9147799075381,312.3756795479892,92,0.00061333364,0.0063590431795199995,409.1761939190831,,37.53910035954891
