seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power,T1_F,T2_F,T3_F,fluid_in_F,fluid_out_F,P_in_psi,P_out_psi,delta_p,pump_power_calc,pump_cost_per_day,Q_dot,efficiency,delta_T
0.0,315,318,316,,,110,96,310,309,21.376192139649504,21.4368715149198,21.396451146500226,,,23.894862604540023,20.853698273053112,-14,4.88,0.0,,,
0.1,315,318,316,,,108,104,310,310,21.376192139649504,21.4368715149198,21.396451146500226,,,23.460410557184748,22.591506462474204,-4,4.88,0.0,,,
0.201,314,318,316,,,110,101,309,311,21.355900195327706,21.4368715149198,21.396451146500226,,,23.894862604540023,21.939828391441296,-9,4.88,0.0,,,
0.301,315,318,316,,,110,102,310,310,21.376192139649504,21.4368715149198,21.396451146500226,,,23.894862604540023,22.15705441511893,-8,4.88,0.0,,,
0.402,314,318,316,,,108,107,309,311,21.355900195327706,21.4368715149198,21.396451146500226,,,23.460410557184748,23.243184533507115,-1,4.88,0.0,,,
0.502,314,318,314,,,112,99,309,310,21.355900195327706,21.4368715149198,21.355900195327706,,,24.329314651895295,21.50537634408602,-13,4.88,0.0,,,
0.602,314,319,315,,,106,102,308,310,21.355900195327706,21.457033454169846,21.376192139649504,,,23.02595850982948,22.15705441511893,-4,4.88,0.0,,,
0.703,315,319,316,,,111,97,309,311,21.376192139649504,21.457033454169846,21.396451146500226,,,24.11208862821766,21.07092429673075,-14,4.88,0.0,,,
0.803,396,399,398,,,105,102,387,391,22.932932813561024,22.98808109608666,22.969712881149633,,,22.80873248615184,22.15705441511893,-3,4.88,0.0,,,
0.904,409,411,408,,,112,100,402,401,23.171003877596206,23.2074314778057,23.152771204793225,,,24.329314651895295,21.722602367763656,-12,4.88,0.0,,,
1.005,411,410,411,,,108,103,400,403,23.2074314778057,23.18922391392323,23.2074314778057,,,23.460410557184748,22.374280438796568,-5,4.88,0.0,,,
1.105,409,411,410,,,111,100,402,404,23.171003877596206,23.2074314778057,23.18922391392323,,,24.11208862821766,21.722602367763656,-11,4.88,0.0,,,
1.206,410,412,409,,,112,101,400,403,23.18922391392323,23.225626732600176,23.171003877596206,,,24.329314651895295,21.939828391441296,-11,4.88,0.0,,,
1.307,411,409,410,,,106,106,400,403,23.2074314778057,23.171003877596206,23.18922391392323,,,23.02595850982948,23.02595850982948,0,4.88,0.0,,,
