seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
0.0,300,302,301,,,106,99,291,290
0.1,299,303,301,,,106,100,291,292
0.201,298,302,301,,,104,100,292,292
0.301,299,302,300,,,106,101,291,291
0.402,300,303,300,,,105,100,291,291
0.502,299,302,301,,,106,100,291,290
0.602,300,302,300,,,105,100,291,293
0.703,299,303,301,,,106,101,290,291
0.803,299,302,300,,,105,100,292,292
0.903,300,303,301,,,106,100,290,291
1.004,299,303,300,,,106,100,290,291
1.104,299,302,300,,,107,100,292,292
1.205,300,302,301,,,105,100,291,291
1.305,299,303,300,,,106,99,292,292
1.405,299,303,300,,,105,100,291,291
1.506,300,303,301,,,105,100,291,291
1.606,300,303,302,,,106,100,291,293
1.706,299,303,300,,,105,99,292,293
1.807,298,302,301,,,105,100,291,294
1.907,298,303,301,,,105,100,291,292
2.008,299,301,301,,,105,101,292,292
2.108,299,302,301,,,106,100,291,291
2.209,299,302,301,,,105,101,291,291
2.309,299,302,301,,,107,100,292,291
2.409,298,303,300,,,106,100,291,293
2.51,300,302,301,,,104,100,292,292
2.61,299,302,300,,,106,100,291,291
2.711,299,303,301,,,105,100,291,291
2.811,299,303,300,,,107,100,291,293
2.912,300,301,301,,,107,100,291,292
3.012,299,303,300,,,105,100,290,291
3.112,300,303,300,,,105,100,292,292
3.213,299,302,301,,,105,100,292,292
3.313,298,302,300,,,106,99,291,292
3.414,300,302,301,,,105,100,291,292
3.514,299,303,301,,,104,100,291,291
3.615,300,303,300,,,106,99,290,292
3.715,299,303,300,,,105,100,290,292
3.816,300,302,301,,,104,100,290,292
3.916,299,302,301,,,105,100,292,293
4.016,298,302,300,,,107,100,291,291
4.117,300,302,301,,,105,99,291,292
4.217,299,303,300,,,105,100,290,291
4.318,299,303,300,,,105,100,291,293
4.418,299,303,301,,,105,101,292,292
4.519,299,303,301,,,105,100,290,291
4.619,300,303,300,,,105,99,292,292
4.72,299,303,301,,,105,100,291,293
4.82,300,303,300,,,106,100,291,293
4.92,300,303,300,,,104,99,290,291
5.021,388,392,388,,,106,100,379,376
5.122,389,391,388,,,105,99,378,375
5.223,390,391,389,,,105,99,380,376
5.323,390,392,391,,,105,99,378,378
5.424,299,302,300,,,106,100,291,291
5.525,300,303,300,,,105,100,290,294
5.625,366,369,369,,,105,98,357,355
5.726,379,379,379,,,106,99,367,364
5.827,390,390,391,,,106,99,379,377
5.928,391,391,391,,,106,99,377,379
6.029,299,302,299,,,106,100,291,293
6.13,300,303,301,,,105,100,291,293
6.23,299,302,300,,,105,99,291,291
6.331,298,302,300,,,104,100,291,291
6.431,300,302,301,,,106,99,292,290
6.532,300,303,301,,,105,99,291,290
6.633,379,379,379,,,105,100,368,364
6.734,300,302,300,,,106,101,291,291
6.834,300,302,301,,,105,100,292,292
6.935,300,302,300,,,105,99,291,293
7.036,368,368,367,,,106,99,357,357
7.137,391,392,389,,,106,99,379,378
7.237,391,391,391,,,108,99,376,377
7.338,389,392,389,,,105,99,379,375
7.439,391,391,391,,,106,99,376,377
7.54,388,392,389,,,105,99,379,375
7.641,390,392,389,,,105,99,378,376
7.741,390,391,390,,,105,99,379,376
7.842,300,302,301,,,105,99,291,291
7.943,376,380,379,,,107,100,366,366
8.044,300,302,300,,,105,100,291,293
8.145,368,367,367,,,107,100,358,356
8.245,299,303,299,,,106,99,291,292
8.346,378,378,378,,,105,98,367,365
8.447,379,380,379,,,106,99,368,366
8.548,299,302,301,,,105,99,290,292
8.649,379,378,379,,,104,99,368,364
8.75,379,378,378,,,105,100,365,368
8.85,391,391,391,,,106,99,379,378
8.951,389,392,389,,,106,99,379,376
9.052,391,392,389,,,106,99,380,375
9.153,390,390,390,,,105,99,379,374
9.253,391,389,390,,,106,100,379,378
9.354,390,391,391,,,105,99,377,377
9.455,390,391,391,,,106,100,378,377
9.556,390,391,390,,,104,99,379,376
9.657,389,392,388,,,106,99,380,377
9.757,391,389,391,,,104,99,378,376
9.858,390,390,391,,,105,100,377,378
9.959,391,389,391,,,104,98,379,375
10.06,389,392,389,,,106,99,379,376
10.161,299,303,301,,,107,99,291,293
10.261,389,390,390,,,104,99,379,377
10.362,388,391,388,,,105,99,379,376
10.463,391,391,391,,,104,99,376,378
10.564,390,389,391,,,104,99,378,377
10.665,390,392,389,,,107,99,379,376
10.766,390,391,390,,,106,99,378,378
10.866,390,391,390,,,105,99,380,376
10.967,391,390,391,,,104,99,377,379
