timestamp,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
2024-01-01T12:00:00,0,0,0,0.730,0.680,0,0,10.50,0.40
2024-01-01T12:00:01,146,146,146,0.733,0.683,146,140,10.55,0.41
2024-01-01T12:00:02,204,204,204,0.736,0.686,204,200,10.60,0.41
2024-01-01T12:00:03,292,292,292,0.739,0.689,292,290,10.65,0.415
2024-01-01T12:00:04,409,409,409,0.750,0.700,409,400,10.70,0.42
2024-01-01T12:00:05,511,511,511,0.753,0.703,511,500,10.75,0.425
2024-01-01T12:00:06,613,613,613,0.760,0.710,613,600,10.80,0.43
2024-01-01T12:00:07,716,716,716,0.763,0.713,716,710,10.85,0.435
2024-01-01T12:00:08,818,818,818,0.770,0.720,818,810,10.90,0.44
2024-01-01T12:00:09,873,873,873,0.773,0.723,873,870,10.95,0.445
